Designator,Mid X,Mid Y,Rotation,Layer
U131,60.5,-69.85,45.0,top
U132,59.2,-68.2,180.0,top
U133,64.5,-66.5,45.0,top
U134,65.25,-73.0,180.0,top
U135,57.5,-73.0,180.0,top
U136,53.5,-73.0,180.0,top
U137,53.05,-77.5,225.0,top
U138,49.85,-80.7,225.0,top
U139,45.75,-81.8,270.0,top
U14,139.1,-36.7,45.0,top
U140,45.8,-84.8,225.0,top
U141,43.0,-87.7,225.0,top
U142,40.2,-90.5,225.0,top
U143,45.75,-79.2,270.0,top
U144,45.75,-76.75,270.0,top
U145,45.8,-73.0,180.0,top
U146,45.75,-68.15,0.0,top
U147,45.8,-65.9,90.0,top
U148,43.7,-68.2,0.0,top
U149,41.85,-67.6,315.0,top
U15,137.3,-38.5,45.0,top
U150,43.65,-65.75,225.0,top
U151,45.8,-63.55,225.0,top
U152,47.9,-61.4,225.0,top
U153,45.75,-58.55,180.0,top
U154,43.5,-58.55,0.0,top
U155,41.8,-54.9,0.0,top
U156,46.5,-54.4,45.0,top
U157,51.79,-51.34,45.0,top
U158,50.1,-50.75,225.0,top
U159,44.2,-51.95,315.0,top
U16,135.5,-40.35,45.0,top
U160,40.35,-49.9,0.0,top
U161,37.8,-49.9,0.0,top
U162,37.8,-45.15,270.0,top
U163,37.8,-40.4,270.0,top
U164,43.1,-32.45,0.0,top
U165,35.7,-34.3,45.0,top
U166,34.45,-32.9,315.0,top
U167,33.0,-32.1,315.0,top
U168,28.95,-32.1,0.0,top
U169,25.1,-32.1,0.0,top
U17,133.75,-42.15,45.0,top
U170,20.2,-32.1,0.0,top
U171,15.2,-32.15,0.0,top
U172,10.95,-32.15,0.0,top
U173,8.3,-34.1,45.0,top
U174,5.74,-36.7,45.0,top
U175,4.3,-37.8,0.0,top
U176,8.7,-41.45,315.0,top
U177,11.75,-44.55,315.0,top
U178,14.75,-47.6,315.0,top
U179,17.7,-50.65,315.0,top
U18,131.949999,-43.95,45.0,top
U180,16.25,-41.65,315.0,top
U181,19.0,-44.45,315.0,top
U182,21.7,-47.25,315.0,top
U183,24.799999,-49.9,0.0,top
U184,23.45,-55.349999,0.0,top
U185,18.55,-61.95,45.0,top
U186,30.65,-59.5,90.0,top
U187,30.7,-54.9,90.0,top
U188,30.65,-49.85,90.0,top
U189,30.65,-43.35,90.0,top
U19,130.25,-45.75,45.0,top
U190,34.45,-49.85,0.0,top
U191,37.8,-54.9,0.0,top
U192,37.8,-60.349999,0.0,top
U193,38.25,-63.95,315.0,top
U194,36.8,-72.9,135.0,top
U195,31.85,-67.85,135.0,top
U196,34.55,-75.05,225.0,top
U197,33.0,-76.7,225.0,top
U198,31.45,-78.25,225.0,top
U199,29.9,-79.85,225.0,top
U2,130.835,-8.665,180.0,top
U20,126.75,-49.25,0.0,top
U200,28.35,-81.45,225.0,top
U201,26.799999,-83.05,225.0,top
U202,25.2,-84.65,225.0,top
U203,23.7,-86.25,225.0,top
U204,19.4,-87.45,0.0,top
U205,13.5,-91.2,45.0,top
U206,0.55,-97.15,0.0,top
U207,2.8,-97.15,0.0,top
U208,6.399999,-97.15,0.0,top
U209,11.649999,-93.1,45.0,top
U21,121.199999,-49.25,0.0,top
